imageName X Y Z Omega Phi Kappa
DJI_0046.JPG 755532.834741 3279240.763947 42.141108 -0.360965 2.162753 60.697129
DJI_0047.JPG 755531.520539 3279241.979303 42.063108 -0.348636 1.863953 61.504378
DJI_0048.JPG 755530.157873 3279243.314380 41.998315 -0.910790 2.400625 60.100788
DJI_0049.JPG 755528.665171 3279244.728885 42.011407 -0.408743 1.756312 60.200460
DJI_0050.JPG 755527.501949 3279246.214975 41.771723 -0.718101 2.453178 61.458668
DJI_0051.JPG 755526.049712 3279247.508613 41.784433 -0.808901 2.635861 60.606904
DJI_0052.JPG 755524.566268 3279248.971259 41.892409 -0.761773 2.412062 60.917211
DJI_0053.JPG 755523.282921 3279250.495106 41.912800 -1.479864 2.475734 60.969348
DJI_0054.JPG 755521.905290 3279252.009266 41.718108 -1.061699 1.912707 63.307847
DJI_0055.JPG 755519.113861 3279254.823116 41.833310 -1.623420 1.949787 62.305427
DJI_0056.JPG 755517.980725 3279256.230801 41.741467 -1.828281 1.978666 61.987784
DJI_0057.JPG 755516.509837 3279257.488428 41.874607 -2.150197 1.849096 61.299976
DJI_0058.JPG 755515.186162 3279258.965769 41.954608 -1.768765 1.618256 62.565048
DJI_0059.JPG 755514.217503 3279260.246398 41.926681 -2.103075 1.506518 62.658279
DJI_0060.JPG 755512.880259 3279261.640960 41.796437 -1.788908 1.789134 62.312282
DJI_0061.JPG 755511.579651 3279263.046009 41.984721 -1.761736 1.690644 62.699963
DJI_0062.JPG 755510.154354 3279264.384903 41.880738 -2.056254 0.869336 62.286048
DJI_0063.JPG 755508.787069 3279265.792077 41.677991 -2.017166 0.828542 62.427118
DJI_0064.JPG 755507.456773 3279267.216867 41.645245 -2.236846 1.033235 62.537537
DJI_0065.JPG 755506.201104 3279268.678575 41.519447 -2.511167 1.318556 62.771554
DJI_0066.JPG 755504.925380 3279270.022292 41.490732 -2.389710 1.353765 62.782872
DJI_0067.JPG 755503.636622 3279271.454521 41.423276 -2.528673 1.530174 62.357980
