x,y,z,sx,sy,sz
755495.78,3279274.82,32.57,0.0142,0.0415,0.0598
755499.98,3279277.49,32.74,0.0052,0.0052,0.0124
755504.72,3279280.54,33.02,0.0093,0.0063,0.0189
755500.34,3279277.80,32.78,0.0054,0.0054,0.0136
755499.00,3279277.41,32.74,0.0063,0.0061,0.0167
755503.67,3279280.48,33.03,0.0071,0.0061,0.0162
755494.40,3279275.28,32.60,0.0102,0.0119,0.0227
755499.62,3279278.50,32.76,0.0054,0.0054,0.0130
755505.20,3279282.15,33.06,0.0296,0.0073,0.0422
755503.38,3279281.12,33.02,0.0071,0.0070,0.0174
755500.90,3279279.58,32.91,0.0058,0.0058,0.0160
755496.47,3279277.19,32.74,0.0080,0.0069,0.0189
755503.10,3279281.42,33.02,0.0068,0.0068,0.0173
755505.23,3279282.94,33.09,0.0187,0.0092,0.0308
755493.99,3279276.61,32.65,0.0138,0.0152,0.0312
755502.89,3279282.11,33.01,0.0080,0.0080,0.0209
755501.80,3279282.60,33.00,0.0102,0.0115,0.0310
755499.23,3279281.11,32.80,0.0058,0.0061,0.0160
755502.46,3279283.40,33.00,0.0110,0.0121,0.0295
755493.74,3279278.89,32.63,0.0171,0.0081,0.0311
755501.53,3279284.02,32.98,0.0107,0.0092,0.0285
755500.04,3279283.51,32.90,0.0078,0.0133,0.0425
755502.60,3279285.44,33.01,0.0110,0.0127,0.0274
755499.63,3279284.82,32.87,0.0069,0.0112,0.0262
755500.21,3279285.67,32.94,0.0085,0.0127,0.0291
755498.63,3279276.37,32.68,0.0063,0.0056,0.0151
755503.13,3279278.94,32.88,0.0055,0.0056,0.0133
755504.35,3279278.38,32.99,0.0104,0.0083,0.0261
755503.45,3279282.63,33.05,0.0095,0.0111,0.0271
755503.61,3279278.76,32.97,0.0078,0.0076,0.0202
755496.92,3279273.51,32.64,0.0079,0.0101,0.0199
755504.98,3279281.63,33.03,0.0099,0.0098,0.0235
755504.39,3279284.16,33.07,0.0085,0.0120,0.0230
755500.94,3279281.65,32.98,0.0084,0.0126,0.0396
