imageName longitude latitude altitude Omega Phi Kappa
DJI_0042.JPG -96.36104640 29.61679460 42.49952965 -2.19430878 2.40749920 56.61383532
DJI_0043.JPG -96.36106116 29.61680755 42.43178793 -2.46065057 2.63034444 56.94514877
DJI_0044.JPG -96.36107589 29.61682130 42.32544184 -2.90357298 2.48634820 56.84097929
DJI_0045.JPG -96.36110289 29.61684412 42.16159293 -0.48506667 2.16474694 59.73871702
DJI_0046.JPG -96.36111556 29.61685774 42.14110768 -0.36096506 2.16275301 60.69712892
DJI_0047.JPG -96.36112883 29.61686897 42.06310839 -0.34863589 1.86395303 61.50437833
DJI_0048.JPG -96.36114258 29.61688128 41.99831471 -0.91079007 2.40062487 60.10078803
DJI_0049.JPG -96.36115764 29.61689434 42.01140691 -0.40874285 1.75631185 60.20046035
DJI_0050.JPG -96.36116930 29.61690798 41.77172339 -0.71810059 2.45317775 61.45866806
DJI_0051.JPG -96.36118398 29.61691994 41.78443258 -0.80890135 2.63586118 60.60690433
DJI_0052.JPG -96.36119894 29.61693343 41.89240926 -0.76177346 2.41206190 60.91721073
DJI_0053.JPG -96.36121182 29.61694743 41.91279966 -1.47986439 2.47573432 60.96934753
DJI_0054.JPG -96.36122568 29.61696137 41.71810799 -1.06169937 1.91270705 63.30784711
DJI_0055.JPG -96.36125382 29.61698731 41.83331007 -1.62342035 1.94978687 62.30542716
DJI_0056.JPG -96.36126518 29.61700023 41.74146733 -1.82828108 1.97866608 61.98778365
DJI_0057.JPG -96.36128006 29.61701187 41.87460690 -2.15019685 1.84909566 61.29997592
DJI_0058.JPG -96.36129337 29.61702546 41.95460753 -1.76876492 1.61825585 62.56504798
DJI_0059.JPG -96.36130307 29.61703721 41.92668084 -2.10307506 1.50651832 62.65827934
DJI_0060.JPG -96.36131654 29.61705005 41.79643702 -1.78890811 1.78913421 62.31228210
DJI_0061.JPG -96.36132963 29.61706299 41.98472124 -1.76173637 1.69064368 62.69996335
DJI_0062.JPG -96.36134402 29.61707535 41.88073777 -2.05625376 0.86933598 62.28604832
DJI_0063.JPG -96.36135779 29.61708832 41.67799063 -2.01716600 0.82854210 62.42711755
DJI_0064.JPG -96.36137119 29.61710144 41.64524470 -2.23684580 1.03323478 62.53753651
DJI_0065.JPG -96.36138380 29.61711487 41.51944693 -2.51116667 1.31855575 62.77155422
DJI_0066.JPG -96.36139664 29.61712725 41.49073249 -2.38971002 1.35376541 62.78287207
DJI_0067.JPG -96.36140961 29.61714043 41.42327555 -2.52867319 1.53017435 62.35798034
DJI_0068.JPG -96.36142509 29.61715305 41.70758343 -2.41907735 1.34353456 62.33968980
DJI_0069.JPG -96.36143740 29.61716599 41.84935641 -2.01981359 1.15695559 62.88016629
DJI_0070.JPG -96.36145139 29.61717810 42.17807783 -1.83853804 1.51333352 62.31563772
DJI_0071.JPG -96.36146416 29.61719067 42.28664023 -2.22168376 1.55469725 61.94064727
DJI_0072.JPG -96.36149300 29.61721894 42.11970569 -2.45445676 1.25140286 61.86315415
DJI_0073.JPG -96.36150670 29.61723163 42.15125950 -2.40943754 1.62157742 60.72146321
