DJI_0001.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
-0.0234324, 0.0280359, 0.134816, -0.0259827, 0.0141479, -0.0164753, 1, -0.00442382, -0.0023532, 0.0126791, -0.0204869, 0.0474449, -0.014492, -0.0243808
0.035903, 0.0792738, -0.0272581, -0.0333341, -0.00700086, 0.0164986, -0.00442382, 1, 0.0110115, -0.0441815, 0.0287872, 0.027358, 0.00668027, 0.0841724
-0.127314, -0.0221739, -0.0747114, 0.00223708, 0.0376229, -0.0626935, -0.0023532, 0.0110115, 1, 0.0823022, -0.106022, 0.375341, 0.723308, 0.32022
0.000996281, -0.0714789, 0.14005, 0.063524, 0.00184431, -0.00814891, 0.0126791, -0.0441815, 0.0823022, 1, -0.0879251, -0.721998, 0.565252, -0.23693
0.9665, -0.707108, -0.292339, 0.205245, -0.315194, 0.459865, -0.0204869, 0.0287872, -0.106022, -0.0879251, 1, 0.0457494, -0.219848, 0.0356088
-0.0806655, 0.0567249, 0.0312132, -0.0741471, 0.025237, -0.032854, 0.0474449, 0.027358, 0.375341, -0.721998, 0.0457494, 1, -0.128983, 0.331081
-0.179704, 0.126949, 0.0354273, 0.0248387, 0.0624258, -0.0984864, -0.014492, 0.00668027, 0.723308, 0.565252, -0.219848, -0.128983, 1, -0.0612807
-0.0141904, 0.0335159, 0.0106791, -0.00369695, -0.00238842, -0.00203037, -0.0243808, 0.0841724, 0.32022, -0.23693, 0.0356088, 0.331081, -0.0612807, 1
DJI_0005.JPG
FC6310_8.8_5472x3648 (RGB)
PerspectiveCamera5
global
F,C0_x,C0_y,R1,R2,R3,T1,T2,X,Y,Z,Alpha,Beta,Gamma
1, -0.73051, -0.304209, 0.205054, -0.323996, 0.472636, -0.0234324, 0.035903, -0.185829, -0.00846968, 0.972133, -0.106941, -0.214668, -0.0194654
-0.73051, 1, 0.264778, -0.143831, 0.243727, -0.354886, 0.0280359, 0.0792738, 0.0102849, -0.0724816, -0.711441, 0.0761685, 0.15276, 0.0406776
