imageName, cameraIndex, cameraName, X_opt, Y_opt, Z_opt, X_gps, Y_gps, Z_gps, X_acc, Y_acc, Z_acc, Omega, Phi, Kappa, X_uncertainty, Y_uncertainty, Z_uncertainty, Omega_uncertainty, Phi_uncertainty, Kappa_uncertainty, inlierProb
DJI_0044.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755536.769088, 3279236.811665, 42.325442, 755534.675875, 3279238.175862, 60.031000, 5.000000, 5.000000, 10.000000, -2.903573, 2.486348, 56.840979, 0.009379, 0.009752, 0.046775, 0.044515, 0.044169, 0.017320, 1.000000
DJI_0045.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755534.096303, 3279239.281690, 42.161593, 755532.044455, 3279240.944378, 60.131000, 5.000000, 5.000000, 10.000000, -0.485067, 2.164747, 59.738717, 0.009610, 0.009425, 0.046793, 0.046130, 0.039960, 0.014678, 1.000000
DJI_0046.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755532.834741, 3279240.763947, 42.141108, 755530.625214, 3279242.618983, 60.231000, 5.000000, 5.000000, 10.000000, -0.360965, 2.162753, 60.697129, 0.009392, 0.009154, 0.046568, 0.046588, 0.037612, 0.013457, 1.000000
DJI_0047.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755531.520539, 3279241.979303, 42.063108, 755529.334047, 3279243.871313, 60.131000, 5.000000, 5.000000, 10.000000, -0.348636, 1.863953, 61.504378, 0.009118, 0.008941, 0.046115, 0.046431, 0.036690, 0.012933, 1.000000
DJI_0048.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755530.157873, 3279243.314380, 41.998315, 755527.951815, 3279245.103082, 60.131000, 5.000000, 5.000000, 10.000000, -0.910790, 2.400625, 60.100788, 0.009233, 0.008705, 0.045655, 0.048192, 0.036167, 0.012944, 1.000000
DJI_0049.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755528.665171, 3279244.728885, 42.011407, 755526.444620, 3279246.738711, 60.231000, 5.000000, 5.000000, 10.000000, -0.408743, 1.756312, 60.200460, 0.009222, 0.008735, 0.045717, 0.048228, 0.036957, 0.012893, 1.000000
DJI_0050.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755527.501949, 3279246.214975, 41.771723, 755525.605860, 3279247.985940, 60.231000, 5.000000, 5.000000, 10.000000, -0.718101, 2.453178, 61.458668, 0.009203, 0.008496, 0.044421, 0.050514, 0.035922, 0.012410, 1.000000
DJI_0051.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755526.049712, 3279247.508613, 41.784433, 755524.106100, 3279249.295141, 60.231000, 5.000000, 5.000000, 10.000000, -0.808901, 2.635861, 60.606904, 0.009266, 0.008331, 0.044387, 0.050703, 0.035998, 0.012238, 1.000000
DJI_0052.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755524.566268, 3279248.971259, 41.892409, 755522.574376, 3279250.471127, 60.131000, 5.000000, 5.000000, 10.000000, -0.761773, 2.412062, 60.917211, 0.009551, 0.008397, 0.044866, 0.052248, 0.037833, 0.012822, 1.000000
DJI_0053.JPG, 0, FC6310_8.8_5472x3648 (RGB)(1), 755523.282921, 3279250.495106, 41.912800, 755521.390519, 3279251.858389, 60.231000, 5.000000, 5.000000, 10.000000, -1.479864, 2.475734, 60.969348, 0.009461, 0.008352, 0.044865, 0.052792, 0.038250, 0.012819, 1.000000
